2021-03-04 10:50:05.721 [main] INFO  com.gdut.fundraising.FundraisingApplication - Starting FundraisingApplication on DESKTOP-0LLU013 with PID 6348 (D:\GIT_RES\java管理系统\blockchain\fundraising\target\classes started by Lenovo in D:\GIT_RES\java管理系统\blockchain)
2021-03-04 10:50:05.794 [main] INFO  com.gdut.fundraising.FundraisingApplication - The following profiles are active: dev8091
2021-03-04 10:50:08.644 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8091 (http)
2021-03-04 10:50:08.656 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8091"]
2021-03-04 10:50:08.656 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-04 10:50:08.657 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-03-04 10:50:08.812 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/fundraising] - Initializing Spring embedded WebApplicationContext
2021-03-04 10:50:08.812 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2858 ms
2021-03-04 10:50:09.248 [main] INFO  c.gdut.fundraising.manager.impl.RaftLogManagerImpl - log manager init success!!
2021-03-04 10:50:09.253 [main] INFO  com.gdut.fundraising.entities.raft.DefaultNode - start success, selfId : localhost:8091 
2021-03-04 10:50:09.593 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-04 10:50:09.895 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8091"]
2021-03-04 10:50:09.921 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8091 (http) with context path '/fundraising'
2021-03-04 10:50:09.933 [main] INFO  com.gdut.fundraising.FundraisingApplication - Started FundraisingApplication in 4.969 seconds (JVM running for 5.822)
2021-03-04 10:50:15.473 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - nodeList size : 2, node list content : [NodeInfo{id='localhost:8090', ip=localhost, port=8090, alive=false, status=0}, NodeInfo{id='localhost:8092', ip=localhost, port=8092, alive=false, status=0}]
2021-03-04 10:50:15.475 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - futureArrayList.size() : 2
2021-03-04 10:50:17.609 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node NodeInfo{id='localhost:8091', ip=localhost, port=8091, alive=false, status=0} maybe become leader , success count = 0 , status : CANDIDATE
2021-03-04 10:50:31.755 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - nodeList size : 2, node list content : [NodeInfo{id='localhost:8090', ip=localhost, port=8090, alive=false, status=0}, NodeInfo{id='localhost:8092', ip=localhost, port=8092, alive=false, status=0}]
2021-03-04 10:50:31.755 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - futureArrayList.size() : 2
2021-03-04 10:50:33.776 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node NodeInfo{id='localhost:8091', ip=localhost, port=8091, alive=false, status=0} maybe become leader , success count = 0 , status : CANDIDATE
2021-03-04 10:50:48.759 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - nodeList size : 2, node list content : [NodeInfo{id='localhost:8090', ip=localhost, port=8090, alive=false, status=0}, NodeInfo{id='localhost:8092', ip=localhost, port=8092, alive=false, status=0}]
2021-03-04 10:50:48.771 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - futureArrayList.size() : 2
2021-03-04 10:50:50.785 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node NodeInfo{id='localhost:8091', ip=localhost, port=8091, alive=false, status=0} maybe become leader , success count = 0 , status : CANDIDATE
2021-03-04 10:50:51.326 [main] INFO  com.gdut.fundraising.FundraisingApplication - Starting FundraisingApplication on DESKTOP-0LLU013 with PID 16692 (D:\GIT_RES\java管理系统\blockchain\fundraising\target\classes started by Lenovo in D:\GIT_RES\java管理系统\blockchain)
2021-03-04 10:50:51.329 [main] INFO  com.gdut.fundraising.FundraisingApplication - The following profiles are active: dev8092
2021-03-04 10:50:53.903 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8092 (http)
